,quantity_lsr_cqi,quantity_lsr_rsrp,quantity_lsr_rsrq,quantity_lsr_pusch_sinr,quantity_lsr_uplink_interference,customer_download_throughput_binned,quantity_lsr_ta_binned,Facebook,IP_OTHER,Youtube,Facebook Video,Whatsapp
0,7.0,-85.0,-17.333,20.15,-116.885,0,0,0,0,0,0,0
1,11.0,-98.0,-11.0,15.3,-116.07,0,0,0,0,0,0,1
2,7.0,-106.0,-17.5,0.7,-113.55,1,0,0,0,0,0,0
3,8.6,-99.0,-12.7,14.1,-116.66,0,0,0,0,0,0,0
4,10.6,-108.067,-10.433,12.5,-118.847,0,0,0,0,1,0,0
5,14.5,-91.0,-6.0,9.3,-117.17,1,0,1,0,0,0,0
6,5.332999999999999,-81.0,-15.833,12.333,-113.68,0,0,0,0,0,0,0
7,11.0,-96.167,-11.5,13.31,-115.877,0,0,0,0,0,0,0
8,9.0,-98.5,-15.25,11.15,-116.95,1,0,0,0,0,0,0
9,14.0,-90.0,-11.0,21.5,-116.45,0,0,0,0,1,0,0
10,13.0,-109.0,-12.0,15.3,-118.1,0,0,0,0,0,0,1
11,9.5,-119.875,-11.188,0.325,-119.23,0,1,0,0,0,0,1
12,14.5,-88.0,-10.0,17.85,-116.92,0,0,0,0,1,0,0
13,4.792,-93.333,-17.813,18.613,-117.065,0,0,0,0,0,0,0
14,6.132999999999999,-107.667,-17.555999999999997,9.813,-115.668,0,0,0,0,1,0,0
15,6.0,-103.0,-8.5,12.4,-113.87,0,0,0,0,1,0,0
16,6.25,-97.25,-17.104,12.433,-116.39,0,0,0,0,1,0,0
17,6.852,-114.815,-13.852,10.242,-117.78,1,0,0,0,0,0,0
18,8.0,-92.0,-14.5,16.1,-115.68,0,0,0,0,1,0,0
19,9.667,-86.5,-11.5,13.867,-114.517,0,0,0,0,0,0,0
20,13.0,-98.0,-9.5,8.1,-117.37,0,0,0,0,1,0,0
21,6.0,-114.0,-15.5,1.9,-118.8,1,0,1,0,0,0,0
22,13.667,-107.0,-7.25,9.8,-119.245,0,0,0,0,0,0,0
23,10.0,-95.0,-12.0,15.3,-115.87,0,0,0,0,1,0,0
24,10.4,-104.0,-8.5,6.227,-119.483,0,0,0,0,0,0,1
25,8.0,-106.0,-14.0,9.4,-117.25,0,1,0,0,1,0,0
26,10.5,-85.5,-9.0,11.35,-116.28,0,0,0,0,0,1,0
27,14.0,-107.0,-12.5,-9.7,-118.1,0,0,0,0,0,0,0
28,7.667000000000001,-108.667,-14.833,7.367000000000001,-116.22,0,0,0,0,0,0,0
29,8.0,-101.0,-13.0,12.2,-115.64,1,0,0,0,0,0,1
30,10.833,-109.667,-8.167,3.067,-114.085,1,0,1,0,0,0,0
31,12.556,-110.334,-11.334,11.378,-116.193,0,0,1,0,0,0,0
32,12.0,-99.0,-14.25,11.65,-114.055,0,0,0,0,1,0,0
33,13.0,-77.0,-8.5,19.4,-116.45,0,0,0,0,0,0,1
34,12.0,-105.0,-9.0,15.6,-120.16,0,0,0,0,0,0,0
35,6.944,-122.0,-15.806,6.972,-119.184,0,0,0,0,0,0,0
36,8.777999999999999,-117.889,-12.944,5.267,-118.771,0,1,0,0,1,0,0
37,8.167,-107.167,-16.584,13.3,-115.25,1,0,1,0,0,0,0
38,11.125,-116.375,-11.438,3.784,-118.459,0,0,0,0,0,0,0
39,9.5,-115.5,-10.75,3.883,-119.333,1,0,0,0,0,0,0
40,6.0,-95.0,-11.5,13.4,-113.44,0,0,0,0,0,0,0
41,11.0,-81.0,-11.5,19.5,-118.15,1,0,0,0,1,0,0
42,7.485,-116.818,-18.682,1.883,-118.293,0,0,0,0,1,0,0
43,8.0,-109.0,-9.0,13.9,-118.6,1,0,0,0,0,0,0
44,12.25,-93.333,-11.167,15.125,-115.075,0,0,0,0,0,0,0
45,10.0,-112.0,-13.5,7.3,-117.27,0,0,0,0,1,0,0
46,6.5,-114.0,-14.5,9.2,-114.52,0,0,0,0,0,0,0
47,6.222,-105.167,-15.0,10.378,-114.664,0,0,0,0,0,0,0
48,10.0,-105.0,-12.0,11.6,-112.9,0,0,0,0,0,0,1
49,13.0,-96.0,-9.5,14.9,-117.52,1,0,0,0,0,1,0
50,15.0,-80.0,-11.0,18.0,-118.82,1,0,0,0,0,0,0
51,7.0,-106.0,-11.5,15.4,-119.0,0,0,0,0,0,0,0
52,11.286,-102.667,-10.5,12.472,-117.849,0,0,0,0,0,0,1
53,6.0,-61.0,-7.0,24.5,-118.4,0,0,0,0,0,0,1
54,11.5,-111.833,-11.083,10.617,-119.333,0,0,0,0,1,0,0
55,5.0,-107.0,-19.0,11.8,-115.17,1,0,0,0,0,0,0
56,7.0,-91.5,-13.25,13.2,-119.3,0,0,0,0,0,0,0
57,7.0,-106.0,-14.5,7.55,-111.03,0,0,0,0,1,0,0
58,9.0,-102.0,-12.0,14.7,-117.97,0,0,0,0,0,0,0
59,15.0,-93.0,-8.5,17.6,-117.87,1,0,0,0,0,0,0
60,6.0,-111.5,-17.5,11.7,-117.41,0,0,0,0,0,0,0
61,8.25,-102.834,-12.709,12.88,-115.25,0,0,0,0,1,0,0
62,10.0,-99.667,-10.333,13.4,-117.567,0,0,0,0,1,0,0
63,11.667,-92.0,-6.5,19.733,-117.983,0,0,0,0,0,0,0
64,8.0,-87.0,-6.0,17.4,-115.17,1,0,0,0,0,0,0
65,12.143,-88.0,-8.5,19.09,-116.911,0,0,0,0,0,0,1
66,6.6,-104.0,-16.0,14.125,-116.278,0,0,0,0,0,0,0
67,11.0,-114.0,-12.333,2.833,-119.667,0,0,0,0,1,0,0
68,13.0,-95.0,-11.0,15.867,-115.807,0,0,0,0,1,0,0
69,11.222,-95.357,-10.25,15.638,-115.365,0,0,0,0,0,1,0
70,4.0,-114.0,-17.0,11.1,-118.53,0,0,0,0,0,0,0
71,12.0,-93.0,-9.0,18.4,-115.57,0,0,0,0,1,0,0
72,9.889,-115.556,-11.167,5.422000000000001,-119.5,0,1,0,0,1,0,0
73,5.577999999999999,-110.304,-13.848,10.204,-118.009,0,0,0,0,0,0,0
74,8.1,-106.2,-13.95,12.937,-116.237,0,0,0,0,0,0,0
75,7.524,-114.667,-14.976,6.683,-119.478,0,1,0,0,0,1,0
76,15.0,-91.0,-12.0,18.3,-117.05,0,0,0,0,0,1,0
77,11.333,-102.0,-10.917,12.133,-115.37,0,0,0,0,0,0,0
78,7.0,-78.5,-11.25,17.0,-116.67,0,0,0,0,0,1,0
79,14.333,-86.0,-6.0,16.333,-118.307,0,0,0,0,0,0,0
80,8.125,-90.25,-16.875,17.075,-117.733,0,0,0,0,0,0,0
81,11.0,-86.0,-13.0,13.2,-114.57,0,0,0,0,1,0,0
82,8.333,-113.0,-11.5,11.575,-118.578,0,0,0,0,0,0,0
83,14.556,-88.0,-12.0,25.0,-118.744,1,0,0,0,0,0,0
84,5.214,-101.214,-15.429,10.453,-116.547,0,1,0,0,0,1,0
85,2.267,-111.067,-19.233,5.792000000000001,-118.1,0,0,0,0,1,0,0
86,10.0,-88.0,-13.25,17.1,-117.62,0,0,0,0,1,0,0
87,6.832999999999999,-111.333,-14.917,12.433,-118.37,0,0,0,0,0,0,0
88,15.0,-102.0,-10.5,13.9,-116.95,0,0,0,0,1,0,0
89,9.0,-107.0,-16.25,15.633,-118.07,0,0,0,0,0,0,0
90,9.0,-104.556,-14.333,16.7,-118.2,0,0,0,0,0,0,1
91,10.5,-100.5,-13.5,16.05,-117.885,0,0,0,0,1,0,0
92,10.25,-102.0,-13.5,14.975,-116.826,0,0,0,0,0,0,0
93,14.167,-94.5,-12.5,13.584,-115.729,0,0,0,0,1,0,0
94,12.0,-94.0,-11.0,11.2,-119.52,1,0,0,1,0,0,0
95,10.167,-112.778,-11.528,10.257,-118.576,0,0,0,0,0,0,1
96,10.0,-93.333,-11.333,14.533,-114.807,0,0,0,0,1,0,0
97,7.4,-107.5,-14.0,11.313,-115.449,0,0,0,0,0,0,0
98,11.0,-78.0,-11.0,22.0,-118.05,0,0,0,0,1,0,0
99,4.25,-117.334,-17.5,-1.188,-118.862,0,1,0,0,0,0,1
100,13.0,-75.0,-5.5,19.7,-118.7,0,0,1,0,0,0,0
101,9.667,-98.333,-13.75,7.632999999999999,-115.433,0,0,0,0,0,0,0
102,7.167000000000001,-85.0,-12.667,15.85,-116.463,0,0,0,0,0,0,0
103,7.75,-119.5,-12.375,6.375,-118.475,0,0,0,0,0,0,1
104,14.5,-98.0,-7.0,19.3,-119.25,0,0,0,0,0,0,0
105,12.0,-91.0,-9.5,8.9,-118.87,0,0,0,0,0,0,0
106,15.0,-104.0,-8.5,16.85,-119.15,0,0,0,0,0,0,0
107,10.75,-95.5,-7.75,8.338,-116.089,0,0,0,0,0,0,0
108,14.0,-98.556,-10.111,14.617,-119.987,0,0,0,0,0,0,0
109,14.0,-93.0,-6.5,13.5,-118.3,0,0,0,0,0,0,0
110,12.286,-93.0,-12.75,19.3,-117.887,0,0,1,0,0,0,0
111,11.25,-106.25,-8.437999999999999,13.325,-118.463,0,0,1,0,0,0,0
112,12.0,-86.0,-11.0,17.8,-117.35,0,0,0,0,0,0,0
113,9.143,-113.786,-11.036,11.665,-119.7,0,0,0,0,0,0,0
114,15.0,-72.0,-7.0,20.4,-119.2,0,0,0,0,1,0,0
115,12.0,-73.0,-6.5,18.534,-118.22,0,0,0,0,1,0,0
116,9.556,-118.0,-12.0,13.544,-118.666,0,0,0,0,1,0,0
117,9.467,-110.133,-10.5,8.02,-117.287,0,0,0,0,0,0,0
118,13.0,-74.0,-12.5,14.0,-120.16,0,0,0,0,1,0,0
119,9.0,-92.0,-11.5,3.3,-118.53,1,0,0,0,0,0,0
120,8.0,-117.0,-10.0,7.0,-115.5,0,0,0,0,0,0,0
121,6.0,-127.0,-16.0,2.0,-119.3,0,0,0,0,0,0,0
122,15.0,-98.0,-7.0,14.3,-119.4,1,0,0,1,0,0,0
123,11.5,-111.0,-9.0,8.167,-118.92,0,0,0,0,0,0,0
124,6.0,-115.0,-17.5,11.2,-117.42,1,0,0,0,0,0,0
125,5.0,-114.0,-17.5,13.4,-118.77,0,0,0,0,0,1,0
126,7.084,-102.75,-12.125,15.3,-118.143,0,0,0,0,0,0,0
127,8.75,-99.25,-10.125,17.45,-118.555,0,0,0,0,0,0,0
128,6.194,-114.084,-16.854,4.257,-115.289,0,0,0,0,0,0,0
129,8.75,-85.0,-11.0,18.975,-118.35,0,0,0,0,0,1,0
130,13.667,-93.5,-10.0,14.15,-118.147,0,0,0,0,0,0,0
131,10.0,-88.0,-10.0,18.6,-118.42,0,0,1,0,0,0,0
132,14.0,-92.0,-12.0,14.4,-117.16,0,0,0,0,0,0,0
133,10.0,-95.0,-12.5,13.1,-118.67,1,0,0,0,0,0,0
134,12.556,-90.667,-16.667,18.733,-117.386,0,0,0,0,0,1,0
135,10.0,-97.0,-7.0,18.3,-119.06,0,0,0,0,0,0,0
136,6.0,-103.667,-13.0,14.25,-117.64,0,0,0,0,0,0,0
137,10.0,-118.0,-9.25,4.45,-118.3,0,1,0,0,0,0,0
138,8.0,-107.0,-10.5,5.6,-118.8,0,0,0,0,1,0,0
139,14.8,-81.0,-8.0,16.48,-118.15,0,0,0,0,0,0,1
140,14.167,-93.0,-9.25,17.25,-118.255,0,0,0,0,0,0,0
141,5.5,-116.834,-15.375,5.83,-119.526,0,0,0,0,1,0,0
142,6.332999999999999,-99.0,-14.167,14.167,-117.007,0,0,0,0,0,1,0
143,13.5,-89.0,-9.5,13.95,-112.115,0,0,0,0,0,0,0
144,13.0,-93.0,-7.0,19.3,-119.1,0,0,0,0,1,0,0
145,9.0,-110.0,-10.0,10.6,-119.23,1,0,0,0,0,0,0
146,10.333,-116.0,-10.333,6.3,-119.4,1,1,0,0,1,0,0
147,7.571000000000001,-108.81,-10.452,11.59,-116.271,0,0,0,0,0,0,0
148,14.143,-91.467,-10.333,16.111,-115.458,0,0,0,0,0,0,0
149,15.0,-79.0,-5.0,16.7,-119.5,0,0,1,0,0,0,0
150,6.0,-114.0,-16.5,13.5,-118.5,0,0,0,0,0,1,0
151,12.857,-105.0,-7.25,2.2430000000000003,-117.514,0,0,0,0,0,0,0
152,4.945,-96.889,-15.528,10.35,-114.656,0,0,0,0,0,0,0
153,8.0,-109.0,-11.5,-7.0,-120.16,1,0,0,0,0,1,0
